GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
D001,Total:
D002,Male:
D003,Male: - Under 5 years
D004,Male: - 5 to 9 years
D005,Male: - 10 to 14 years
D006,Male: - 15 to 17 years
D007,Male: - 18 and 19 years
D008,Male: - 20 years
D009,Male: - 21 years
D010,Male: - 22 to 24 years
D011,Male: - 25 to 29 years
D012,Male: - 30 to 34 years
D013,Male: - 35 to 39 years
D014,Male: - 40 to 44 years
D015,Male: - 45 to 49 years
D016,Male: - 50 to 54 years
D017,Male: - 55 to 59 years
D018,Male: - 60 and 61 years
D019,Male: - 62 to 64 years
D020,Male: - 65 and 66 years
D021,Male: - 67 to 69 years
D022,Male: - 70 to 74 years
D023,Male: - 75 to 79 years
D024,Male: - 80 to 84 years
D025,Male: - 85 years and over
D026,Female:
D027,Female: - Under 5 years
D028,Female: - 5 to 9 years
D029,Female: - 10 to 14 years
D030,Female: - 15 to 17 years
D031,Female: - 18 and 19 years
D032,Female: - 20 years
D033,Female: - 21 years
D034,Female: - 22 to 24 years
D035,Female: - 25 to 29 years
D036,Female: - 30 to 34 years
D037,Female: - 35 to 39 years
D038,Female: - 40 to 44 years
D039,Female: - 45 to 49 years
D040,Female: - 50 to 54 years
D041,Female: - 55 to 59 years
D042,Female: - 60 and 61 years
D043,Female: - 62 to 64 years
D044,Female: - 65 and 66 years
D045,Female: - 67 to 69 years
D046,Female: - 70 to 74 years
D047,Female: - 75 to 79 years
D048,Female: - 80 to 84 years
D049,Female: - 85 years and over
