GEOid2,GEOdisplaylabel,total_over_18_pop,hispanic_over_18_pop
48001950100,"Census Tract 9501, Anderson County, Texas",3635,139
48001950401,"Census Tract 9504.01, Anderson County, Texas",5359,1318
48001950402,"Census Tract 9504.02, Anderson County, Texas",7469,1727
48001950500,"Census Tract 9505, Anderson County, Texas",3084,796
48001950600,"Census Tract 9506, Anderson County, Texas",4455,699
48001950700,"Census Tract 9507, Anderson County, Texas",1886,392
48001950800,"Census Tract 9508, Anderson County, Texas",3896,448
48001950901,"Census Tract 9509.01, Anderson County, Texas",4738,562
48001950902,"Census Tract 9509.02, Anderson County, Texas",3814,283
48001951000,"Census Tract 9510, Anderson County, Texas",5255,198
48001951100,"Census Tract 9511, Anderson County, Texas",3392,151
48003950100,"Census Tract 9501, Andrews County, Texas",1254,302
48003950200,"Census Tract 9502, Andrews County, Texas",4578,1826
48003950300,"Census Tract 9503, Andrews County, Texas",2720,1558
48003950400,"Census Tract 9504, Andrews County, Texas",1922,856
48005000101,"Census Tract 1.01, Angelina County, Texas",4749,417
48005000102,"Census Tract 1.02, Angelina County, Texas",3074,306
48005000200,"Census Tract 2, Angelina County, Texas",4832,749
48005000301,"Census Tract 3.01, Angelina County, Texas",3894,434
48005000302,"Census Tract 3.02, Angelina County, Texas",3273,577
48005000400,"Census Tract 4, Angelina County, Texas",4003,893
48005000500,"Census Tract 5, Angelina County, Texas",2900,460
48005000600,"Census Tract 6, Angelina County, Texas",4433,1581
48005000700,"Census Tract 7, Angelina County, Texas",2233,1023
48005000800,"Census Tract 8, Angelina County, Texas",4581,615
48005000901,"Census Tract 9.01, Angelina County, Texas",4784,446
48005000902,"Census Tract 9.02, Angelina County, Texas",2991,218
48005001001,"Census Tract 10.01, Angelina County, Texas",4034,1498
48005001002,"Census Tract 10.02, Angelina County, Texas",2993,698
48005001100,"Census Tract 11, Angelina County, Texas",4618,220
48005001200,"Census Tract 12, Angelina County, Texas",2357,37
48005001300,"Census Tract 13, Angelina County, Texas",3816,92
48007950100,"Census Tract 9501, Aransas County, Texas",4568,532
48007950200,"Census Tract 9502, Aransas County, Texas",1038,67
48007950300,"Census Tract 9503, Aransas County, Texas",5342,1203
48007950400,"Census Tract 9504, Aransas County, Texas",2735,828
48007950500,"Census Tract 9505, Aransas County, Texas",4952,1117
48007990000,"Census Tract 9900, Aransas County, Texas",0,0
48009020100,"Census Tract 201, Archer County, Texas",2074,74
48009020200,"Census Tract 202, Archer County, Texas",2147,76
48009020300,"Census Tract 203, Archer County, Texas",2648,273
48011950100,"Census Tract 9501, Armstrong County, Texas",1478,72
48013960100,"Census Tract 9601, Atascosa County, Texas",5094,2679
48013960201,"Census Tract 9602.01, Atascosa County, Texas",4469,2630
48013960202,"Census Tract 9602.02, Atascosa County, Texas",6472,4400
48013960300,"Census Tract 9603, Atascosa County, Texas",2497,2075
48013960401,"Census Tract 9604.01, Atascosa County, Texas",1602,1100
48013960402,"Census Tract 9604.02, Atascosa County, Texas",5664,2384
48013960500,"Census Tract 9605, Atascosa County, Texas",1882,1223
48013960600,"Census Tract 9606, Atascosa County, Texas",4369,2019
48015760100,"Census Tract 7601, Austin County, Texas",1789,428
48015760200,"Census Tract 7602, Austin County, Texas",4364,1263
48015760300,"Census Tract 7603, Austin County, Texas",5188,1212
48015760400,"Census Tract 7604, Austin County, Texas",2863,215
48015760501,"Census Tract 7605.01, Austin County, Texas",3332,303
48015760502,"Census Tract 7605.02, Austin County, Texas",3752,695
48017950100,"Census Tract 9501, Bailey County, Texas",4949,2602
48019000101,"Census Tract 1.01, Bandera County, Texas",3485,528
48019000102,"Census Tract 1.02, Bandera County, Texas",4016,579
48019000200,"Census Tract 2, Bandera County, Texas",2185,153
48019000300,"Census Tract 3, Bandera County, Texas",5011,801
48019000400,"Census Tract 4, Bandera County, Texas",1765,299
48021950100,"Census Tract 9501, Bastrop County, Texas",6410,1607
48021950200,"Census Tract 9502, Bastrop County, Texas",5580,2373
48021950300,"Census Tract 9503, Bastrop County, Texas",9500,1813
48021950400,"Census Tract 9504, Bastrop County, Texas",6145,1125
48021950501,"Census Tract 9505.01, Bastrop County, Texas",6099,2188
48021950502,"Census Tract 9505.02, Bastrop County, Texas",5022,682
48021950600,"Census Tract 9506, Bastrop County, Texas",4066,465
48021950700,"Census Tract 9507, Bastrop County, Texas",3131,479
48021950801,"Census Tract 9508.01, Bastrop County, Texas",4405,2332
48021950802,"Census Tract 9508.02, Bastrop County, Texas",4361,1991
48023950300,"Census Tract 9503, Baylor County, Texas",2958,282
48025950100,"Census Tract 9501, Bee County, Texas",1475,563
48025950201,"Census Tract 9502.01, Bee County, Texas",7686,2592
48025950202,"Census Tract 9502.02, Bee County, Texas",3853,1828
48025950300,"Census Tract 9503, Bee County, Texas",3650,2193
48025950400,"Census Tract 9504, Bee County, Texas",1449,977
48025950500,"Census Tract 9505, Bee County, Texas",4957,3616
48025950600,"Census Tract 9506, Bee County, Texas",1802,939
48027020100,"Census Tract 201, Bell County, Texas",4587,528
48027020201,"Census Tract 202.01, Bell County, Texas",4356,356
48027020202,"Census Tract 202.02, Bell County, Texas",4952,559
48027020300,"Census Tract 203, Bell County, Texas",5306,927
48027020401,"Census Tract 204.01, Bell County, Texas",2198,457
48027020402,"Census Tract 204.02, Bell County, Texas",1968,604
48027020500,"Census Tract 205, Bell County, Texas",2741,738
48027020600,"Census Tract 206, Bell County, Texas",1880,360
48027020701,"Census Tract 207.01, Bell County, Texas",1052,277
48027020702,"Census Tract 207.02, Bell County, Texas",1581,686
48027020800,"Census Tract 208, Bell County, Texas",2334,581
48027020900,"Census Tract 209, Bell County, Texas",2238,580
48027021000,"Census Tract 210, Bell County, Texas",3421,1009
48027021100,"Census Tract 211, Bell County, Texas",4165,929
48027021201,"Census Tract 212.01, Bell County, Texas",2321,407
48027021202,"Census Tract 212.02, Bell County, Texas",3093,475
48027021203,"Census Tract 212.03, Bell County, Texas",3451,456
48027021301,"Census Tract 213.01, Bell County, Texas",3741,417
48027021302,"Census Tract 213.02, Bell County, Texas",2408,174
48027021303,"Census Tract 213.03, Bell County, Texas",4460,614
48027021400,"Census Tract 214, Bell County, Texas",2806,410
48027021500,"Census Tract 215, Bell County, Texas",4674,1202
48027021601,"Census Tract 216.01, Bell County, Texas",3623,1503
48027021602,"Census Tract 216.02, Bell County, Texas",2139,405
48027021700,"Census Tract 217, Bell County, Texas",5513,577
48027021800,"Census Tract 218, Bell County, Texas",5887,1047
48027021901,"Census Tract 219.01, Bell County, Texas",2689,442
48027021903,"Census Tract 219.03, Bell County, Texas",5434,782
48027021904,"Census Tract 219.04, Bell County, Texas",6177,908
48027022000,"Census Tract 220, Bell County, Texas",5695,951
48027022101,"Census Tract 221.01, Bell County, Texas",3215,594
48027022103,"Census Tract 221.03, Bell County, Texas",3660,787
48027022104,"Census Tract 221.04, Bell County, Texas",3302,597
48027022105,"Census Tract 221.05, Bell County, Texas",1583,330
48027022200,"Census Tract 222, Bell County, Texas",2446,493
48027022300,"Census Tract 223, Bell County, Texas",3050,570
48027022401,"Census Tract 224.01, Bell County, Texas",3864,784
48027022402,"Census Tract 224.02, Bell County, Texas",2829,561
48027022403,"Census Tract 224.03, Bell County, Texas",3139,554
48027022404,"Census Tract 224.04, Bell County, Texas",4821,948
48027022405,"Census Tract 224.05, Bell County, Texas",1395,264
48027022501,"Census Tract 225.01, Bell County, Texas",2536,550
48027022502,"Census Tract 225.02, Bell County, Texas",6640,1245
48027022600,"Census Tract 226, Bell County, Texas",3123,910
