GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",5216,685,5078,671,138,96
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",8089,660,5991,532,2098,285
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",3755,977,3108,853,647,252
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4576,770,3113,627,1463,392
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",6114,650,4579,619,1535,429
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",3266,408,2517,417,749,235
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4395,506,4065,524,330,252
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",5268,727,4574,703,694,313
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",5185,573,4590,544,595,332
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",6839,658,6516,647,323,154
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",5313,670,5102,665,211,150
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",1684,179,1010,178,674,201
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",6289,433,3628,343,2661,398
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",3754,405,1589,273,2165,370
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2321,224,1188,249,1133,295
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",5992,777,5162,631,830,531
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",5153,632,4546,625,607,411
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6751,632,5141,588,1610,500
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",5495,658,4539,603,956,390
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4176,485,3758,460,418,244
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5554,503,4174,418,1380,372
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",4035,585,3075,437,960,485
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",6536,755,4092,612,2444,501
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",3275,443,1656,282,1619,435
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",6021,658,4952,520,1069,481
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6504,495,5913,551,591,312
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",3101,420,2839,374,262,193
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",5135,444,2964,379,2171,349
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",3703,553,2755,506,948,422
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",5911,641,5800,618,111,98
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2703,365,2688,364,15,18
1400000US48005001300,48005001300,"Census Tract 13, Angelina County, Texas",5209,622,5188,625,21,33
1400000US48007950100,48007950100,"Census Tract 9501, Aransas County, Texas",5950,529,4992,446,958,311
1400000US48007950200,48007950200,"Census Tract 9502, Aransas County, Texas",1356,181,1256,155,100,108
1400000US48007950300,48007950300,"Census Tract 9503, Aransas County, Texas",6837,556,5280,533,1557,347
1400000US48007950400,48007950400,"Census Tract 9504, Aransas County, Texas",3757,563,2247,516,1510,280
1400000US48007950500,48007950500,"Census Tract 9505, Aransas County, Texas",5347,542,3854,420,1493,378
1400000US48007990000,48007990000,"Census Tract 9900, Aransas County, Texas",0,127,0,127,0,127
1400000US48009020100,48009020100,"Census Tract 201, Archer County, Texas",2866,265,2736,255,130,132
1400000US48009020200,48009020200,"Census Tract 202, Archer County, Texas",2690,218,2573,213,117,70
1400000US48009020300,48009020300,"Census Tract 203, Archer County, Texas",3499,262,3125,239,374,119
1400000US48011950100,48011950100,"Census Tract 9501, Armstrong County, Texas",1958,121,1778,116,180,39
1400000US48013960100,48013960100,"Census Tract 9601, Atascosa County, Texas",6252,657,3068,491,3184,610
1400000US48013960201,48013960201,"Census Tract 9602.01, Atascosa County, Texas",6162,644,2420,372,3742,622
1400000US48013960202,48013960202,"Census Tract 9602.02, Atascosa County, Texas",10179,879,3353,565,6826,826
1400000US48013960300,48013960300,"Census Tract 9603, Atascosa County, Texas",3582,191,470,235,3112,229
1400000US48013960401,48013960401,"Census Tract 9604.01, Atascosa County, Texas",2183,459,314,122,1869,466
1400000US48013960402,48013960402,"Census Tract 9604.02, Atascosa County, Texas",7942,548,3976,485,3966,490
1400000US48013960500,48013960500,"Census Tract 9605, Atascosa County, Texas",1935,269,416,117,1519,273
1400000US48013960600,48013960600,"Census Tract 9606, Atascosa County, Texas",5814,509,3139,513,2675,426
1400000US48015760100,48015760100,"Census Tract 7601, Austin County, Texas",1987,315,1312,221,675,286
1400000US48015760200,48015760200,"Census Tract 7602, Austin County, Texas",6592,566,4468,450,2124,510
1400000US48015760300,48015760300,"Census Tract 7603, Austin County, Texas",6613,689,5046,564,1567,516
1400000US48015760400,48015760400,"Census Tract 7604, Austin County, Texas",3245,428,3020,417,225,195
