GEOid2,GEOdisplaylabel,hispanic_pop_perc
48001950100,"Census Tract 9501, Anderson County, Texas",4
48001950401,"Census Tract 9504.01, Anderson County, Texas",25
48001950402,"Census Tract 9504.02, Anderson County, Texas",23
48001950500,"Census Tract 9505, Anderson County, Texas",26
48001950600,"Census Tract 9506, Anderson County, Texas",16
48001950700,"Census Tract 9507, Anderson County, Texas",21
48001950800,"Census Tract 9508, Anderson County, Texas",11
48001950901,"Census Tract 9509.01, Anderson County, Texas",12
48001950902,"Census Tract 9509.02, Anderson County, Texas",7
48001951000,"Census Tract 9510, Anderson County, Texas",4
48001951100,"Census Tract 9511, Anderson County, Texas",4
48003950100,"Census Tract 9501, Andrews County, Texas",24
48003950200,"Census Tract 9502, Andrews County, Texas",40
48003950300,"Census Tract 9503, Andrews County, Texas",57
48003950400,"Census Tract 9504, Andrews County, Texas",45
48005000101,"Census Tract 1.01, Angelina County, Texas",9
48005000102,"Census Tract 1.02, Angelina County, Texas",10
48005000200,"Census Tract 2, Angelina County, Texas",16
48005000301,"Census Tract 3.01, Angelina County, Texas",11
48005000302,"Census Tract 3.02, Angelina County, Texas",18
48005000400,"Census Tract 4, Angelina County, Texas",22
48005000500,"Census Tract 5, Angelina County, Texas",16
48005000600,"Census Tract 6, Angelina County, Texas",36
48005000700,"Census Tract 7, Angelina County, Texas",46
48005000800,"Census Tract 8, Angelina County, Texas",13
48005000901,"Census Tract 9.01, Angelina County, Texas",9
48005000902,"Census Tract 9.02, Angelina County, Texas",7
48005001001,"Census Tract 10.01, Angelina County, Texas",37
48005001002,"Census Tract 10.02, Angelina County, Texas",23
48005001100,"Census Tract 11, Angelina County, Texas",5
48005001200,"Census Tract 12, Angelina County, Texas",2
48005001300,"Census Tract 13, Angelina County, Texas",2
48007950100,"Census Tract 9501, Aransas County, Texas",12
48007950200,"Census Tract 9502, Aransas County, Texas",6
48007950300,"Census Tract 9503, Aransas County, Texas",23
48007950400,"Census Tract 9504, Aransas County, Texas",30
48007950500,"Census Tract 9505, Aransas County, Texas",23
48007990000,"Census Tract 9900, Aransas County, Texas",0
48009020100,"Census Tract 201, Archer County, Texas",4
48009020200,"Census Tract 202, Archer County, Texas",4
48009020300,"Census Tract 203, Archer County, Texas",10
48011950100,"Census Tract 9501, Armstrong County, Texas",5
48013960100,"Census Tract 9601, Atascosa County, Texas",53
48013960201,"Census Tract 9602.01, Atascosa County, Texas",59
48013960202,"Census Tract 9602.02, Atascosa County, Texas",68
48013960300,"Census Tract 9603, Atascosa County, Texas",83
48013960401,"Census Tract 9604.01, Atascosa County, Texas",69
48013960402,"Census Tract 9604.02, Atascosa County, Texas",42
48013960500,"Census Tract 9605, Atascosa County, Texas",65
48013960600,"Census Tract 9606, Atascosa County, Texas",46
48015760100,"Census Tract 7601, Austin County, Texas",24
48015760200,"Census Tract 7602, Austin County, Texas",29
48015760300,"Census Tract 7603, Austin County, Texas",23
48015760400,"Census Tract 7604, Austin County, Texas",8
48015760501,"Census Tract 7605.01, Austin County, Texas",9
48015760502,"Census Tract 7605.02, Austin County, Texas",19
48017950100,"Census Tract 9501, Bailey County, Texas",53
48019000101,"Census Tract 1.01, Bandera County, Texas",15
48019000102,"Census Tract 1.02, Bandera County, Texas",14
48019000200,"Census Tract 2, Bandera County, Texas",7
48019000300,"Census Tract 3, Bandera County, Texas",16
48019000400,"Census Tract 4, Bandera County, Texas",17
48021950100,"Census Tract 9501, Bastrop County, Texas",25
48021950200,"Census Tract 9502, Bastrop County, Texas",43
48021950300,"Census Tract 9503, Bastrop County, Texas",19
48021950400,"Census Tract 9504, Bastrop County, Texas",18
48021950501,"Census Tract 9505.01, Bastrop County, Texas",36
48021950502,"Census Tract 9505.02, Bastrop County, Texas",14
48021950600,"Census Tract 9506, Bastrop County, Texas",11
48021950700,"Census Tract 9507, Bastrop County, Texas",15
48021950801,"Census Tract 9508.01, Bastrop County, Texas",53
48021950802,"Census Tract 9508.02, Bastrop County, Texas",46
48023950300,"Census Tract 9503, Baylor County, Texas",10
48025950100,"Census Tract 9501, Bee County, Texas",38
48025950201,"Census Tract 9502.01, Bee County, Texas",34
48025950202,"Census Tract 9502.02, Bee County, Texas",47
48025950300,"Census Tract 9503, Bee County, Texas",60
48025950400,"Census Tract 9504, Bee County, Texas",67
48025950500,"Census Tract 9505, Bee County, Texas",73
48025950600,"Census Tract 9506, Bee County, Texas",52
48027020100,"Census Tract 201, Bell County, Texas",12
48027020201,"Census Tract 202.01, Bell County, Texas",8
48027020202,"Census Tract 202.02, Bell County, Texas",11
48027020300,"Census Tract 203, Bell County, Texas",17
48027020401,"Census Tract 204.01, Bell County, Texas",21
48027020402,"Census Tract 204.02, Bell County, Texas",31
48027020500,"Census Tract 205, Bell County, Texas",27
48027020600,"Census Tract 206, Bell County, Texas",19
48027020701,"Census Tract 207.01, Bell County, Texas",26
48027020702,"Census Tract 207.02, Bell County, Texas",43
48027020800,"Census Tract 208, Bell County, Texas",25
48027020900,"Census Tract 209, Bell County, Texas",26
48027021000,"Census Tract 210, Bell County, Texas",29
48027021100,"Census Tract 211, Bell County, Texas",22
48027021201,"Census Tract 212.01, Bell County, Texas",18
48027021202,"Census Tract 212.02, Bell County, Texas",15
48027021203,"Census Tract 212.03, Bell County, Texas",13
48027021301,"Census Tract 213.01, Bell County, Texas",11
48027021302,"Census Tract 213.02, Bell County, Texas",7
48027021303,"Census Tract 213.03, Bell County, Texas",14
48027021400,"Census Tract 214, Bell County, Texas",15
48027021500,"Census Tract 215, Bell County, Texas",26
48027021601,"Census Tract 216.01, Bell County, Texas",41
48027021602,"Census Tract 216.02, Bell County, Texas",19
48027021700,"Census Tract 217, Bell County, Texas",10
48027021800,"Census Tract 218, Bell County, Texas",18
48027021901,"Census Tract 219.01, Bell County, Texas",16
48027021903,"Census Tract 219.03, Bell County, Texas",14
48027021904,"Census Tract 219.04, Bell County, Texas",15
48027022000,"Census Tract 220, Bell County, Texas",17
48027022101,"Census Tract 221.01, Bell County, Texas",18
48027022103,"Census Tract 221.03, Bell County, Texas",22
48027022104,"Census Tract 221.04, Bell County, Texas",18
48027022105,"Census Tract 221.05, Bell County, Texas",21
48027022200,"Census Tract 222, Bell County, Texas",20
48027022300,"Census Tract 223, Bell County, Texas",19
48027022401,"Census Tract 224.01, Bell County, Texas",20
48027022402,"Census Tract 224.02, Bell County, Texas",20
48027022403,"Census Tract 224.03, Bell County, Texas",18
48027022404,"Census Tract 224.04, Bell County, Texas",20
48027022405,"Census Tract 224.05, Bell County, Texas",19
48027022501,"Census Tract 225.01, Bell County, Texas",22
48027022502,"Census Tract 225.02, Bell County, Texas",19
48027022600,"Census Tract 226, Bell County, Texas",29
48027022801,"Census Tract 228.01, Bell County, Texas",25
48027022900,"Census Tract 229, Bell County, Texas",26
48027023000,"Census Tract 230, Bell County, Texas",18
48027023103,"Census Tract 231.03, Bell County, Texas",20
48027023104,"Census Tract 231.04, Bell County, Texas",20
48027023105,"Census Tract 231.05, Bell County, Texas",20
48027023106,"Census Tract 231.06, Bell County, Texas",21
48027023107,"Census Tract 231.07, Bell County, Texas",19
48027023108,"Census Tract 231.08, Bell County, Texas",22
48027023201,"Census Tract 232.01, Bell County, Texas",15
48027023202,"Census Tract 232.02, Bell County, Texas",17
48027023203,"Census Tract 232.03, Bell County, Texas",20
48027023204,"Census Tract 232.04, Bell County, Texas",16
48027023300,"Census Tract 233, Bell County, Texas",13
48027023402,"Census Tract 234.02, Bell County, Texas",18
48027023403,"Census Tract 234.03, Bell County, Texas",9
48027023404,"Census Tract 234.04, Bell County, Texas",18
48027023500,"Census Tract 235, Bell County, Texas",36
48027980001,"Census Tract 9800.01, Bell County, Texas",14
48027980002,"Census Tract 9800.02, Bell County, Texas",0
48027980003,"Census Tract 9800.03, Bell County, Texas",0
48029110100,"Census Tract 1101, Bexar County, Texas",55
48029110300,"Census Tract 1103, Bexar County, Texas",76
48029110500,"Census Tract 1105, Bexar County, Texas",90
48029110600,"Census Tract 1106, Bexar County, Texas",68
48029110700,"Census Tract 1107, Bexar County, Texas",81
48029110800,"Census Tract 1108, Bexar County, Texas",69
48029110900,"Census Tract 1109, Bexar County, Texas",60
48029111000,"Census Tract 1110, Bexar County, Texas",74
48029120100,"Census Tract 1201, Bexar County, Texas",14
48029120300,"Census Tract 1203, Bexar County, Texas",15
48029120400,"Census Tract 1204, Bexar County, Texas",13
48029120501,"Census Tract 1205.01, Bexar County, Texas",48
48029120502,"Census Tract 1205.02, Bexar County, Texas",54
48029120600,"Census Tract 1206, Bexar County, Texas",28
48029120701,"Census Tract 1207.01, Bexar County, Texas",54
48029120702,"Census Tract 1207.02, Bexar County, Texas",20
48029120800,"Census Tract 1208, Bexar County, Texas",16
48029120901,"Census Tract 1209.01, Bexar County, Texas",34
48029120902,"Census Tract 1209.02, Bexar County, Texas",30
48029121000,"Census Tract 1210, Bexar County, Texas",42
48029121108,"Census Tract 1211.08, Bexar County, Texas",29
48029121110,"Census Tract 1211.10, Bexar County, Texas",37
48029121111,"Census Tract 1211.11, Bexar County, Texas",43
48029121112,"Census Tract 1211.12, Bexar County, Texas",29
48029121115,"Census Tract 1211.15, Bexar County, Texas",22
48029121116,"Census Tract 1211.16, Bexar County, Texas",29
48029121117,"Census Tract 1211.17, Bexar County, Texas",33
48029121118,"Census Tract 1211.18, Bexar County, Texas",30
48029121119,"Census Tract 1211.19, Bexar County, Texas",36
48029121120,"Census Tract 1211.20, Bexar County, Texas",38
48029121121,"Census Tract 1211.21, Bexar County, Texas",23
48029121122,"Census Tract 1211.22, Bexar County, Texas",31
48029121203,"Census Tract 1212.03, Bexar County, Texas",53
48029121204,"Census Tract 1212.04, Bexar County, Texas",36
48029121205,"Census Tract 1212.05, Bexar County, Texas",48
48029121206,"Census Tract 1212.06, Bexar County, Texas",45
48029121300,"Census Tract 1213, Bexar County, Texas",29
48029121402,"Census Tract 1214.02, Bexar County, Texas",59
48029121403,"Census Tract 1214.03, Bexar County, Texas",39
48029121404,"Census Tract 1214.04, Bexar County, Texas",50
48029121501,"Census Tract 1215.01, Bexar County, Texas",32
48029121504,"Census Tract 1215.04, Bexar County, Texas",33
48029121505,"Census Tract 1215.05, Bexar County, Texas",34
48029121506,"Census Tract 1215.06, Bexar County, Texas",40
48029121507,"Census Tract 1215.07, Bexar County, Texas",35
48029121508,"Census Tract 1215.08, Bexar County, Texas",42
48029121601,"Census Tract 1216.01, Bexar County, Texas",36
48029121604,"Census Tract 1216.04, Bexar County, Texas",31
48029121605,"Census Tract 1216.05, Bexar County, Texas",29
48029121606,"Census Tract 1216.06, Bexar County, Texas",31
48029121701,"Census Tract 1217.01, Bexar County, Texas",27
48029121702,"Census Tract 1217.02, Bexar County, Texas",24
48029121802,"Census Tract 1218.02, Bexar County, Texas",43
48029121803,"Census Tract 1218.03, Bexar County, Texas",44
48029121804,"Census Tract 1218.04, Bexar County, Texas",41
48029121808,"Census Tract 1218.08, Bexar County, Texas",39
48029121809,"Census Tract 1218.09, Bexar County, Texas",36
48029121810,"Census Tract 1218.10, Bexar County, Texas",36
48029121811,"Census Tract 1218.11, Bexar County, Texas",37
48029121812,"Census Tract 1218.12, Bexar County, Texas",37
48029121813,"Census Tract 1218.13, Bexar County, Texas",32
48029121903,"Census Tract 1219.03, Bexar County, Texas",21
48029121904,"Census Tract 1219.04, Bexar County, Texas",24
48029121905,"Census Tract 1219.05, Bexar County, Texas",27
48029121906,"Census Tract 1219.06, Bexar County, Texas",29
48029121907,"Census Tract 1219.07, Bexar County, Texas",32
48029121908,"Census Tract 1219.08, Bexar County, Texas",20
48029121909,"Census Tract 1219.09, Bexar County, Texas",38
48029121910,"Census Tract 1219.10, Bexar County, Texas",31
48029130200,"Census Tract 1302, Bexar County, Texas",68
48029130300,"Census Tract 1303, Bexar County, Texas",78
48029130401,"Census Tract 1304.01, Bexar County, Texas",78
48029130402,"Census Tract 1304.02, Bexar County, Texas",60
48029130500,"Census Tract 1305, Bexar County, Texas",53
48029130600,"Census Tract 1306, Bexar County, Texas",55
48029130700,"Census Tract 1307, Bexar County, Texas",79
48029130800,"Census Tract 1308, Bexar County, Texas",27
48029130900,"Census Tract 1309, Bexar County, Texas",41
48029131000,"Census Tract 1310, Bexar County, Texas",35
48029131100,"Census Tract 1311, Bexar County, Texas",45
48029131200,"Census Tract 1312, Bexar County, Texas",50
48029131300,"Census Tract 1313, Bexar County, Texas",44
48029131401,"Census Tract 1314.01, Bexar County, Texas",54
48029131402,"Census Tract 1314.02, Bexar County, Texas",49
48029131503,"Census Tract 1315.03, Bexar County, Texas",40
48029131504,"Census Tract 1315.04, Bexar County, Texas",54
48029131505,"Census Tract 1315.05, Bexar County, Texas",50
48029131506,"Census Tract 1315.06, Bexar County, Texas",52
48029131507,"Census Tract 1315.07, Bexar County, Texas",55
48029131601,"Census Tract 1316.01, Bexar County, Texas",30
48029131606,"Census Tract 1316.06, Bexar County, Texas",37
48029131608,"Census Tract 1316.08, Bexar County, Texas",33
48029131609,"Census Tract 1316.09, Bexar County, Texas",36
48029131610,"Census Tract 1316.10, Bexar County, Texas",40
48029131611,"Census Tract 1316.11, Bexar County, Texas",29
48029131612,"Census Tract 1316.12, Bexar County, Texas",47
48029131613,"Census Tract 1316.13, Bexar County, Texas",36
48029131614,"Census Tract 1316.14, Bexar County, Texas",33
48029131615,"Census Tract 1316.15, Bexar County, Texas",39
48029131700,"Census Tract 1317, Bexar County, Texas",12
48029131801,"Census Tract 1318.01, Bexar County, Texas",13
48029131802,"Census Tract 1318.02, Bexar County, Texas",30
48029140100,"Census Tract 1401, Bexar County, Texas",86
48029140200,"Census Tract 1402, Bexar County, Texas",88
48029140300,"Census Tract 1403, Bexar County, Texas",93
48029140400,"Census Tract 1404, Bexar County, Texas",88
48029140500,"Census Tract 1405, Bexar County, Texas",82
48029140600,"Census Tract 1406, Bexar County, Texas",86
48029140700,"Census Tract 1407, Bexar County, Texas",79
48029140800,"Census Tract 1408, Bexar County, Texas",84
48029140900,"Census Tract 1409, Bexar County, Texas",81
48029141000,"Census Tract 1410, Bexar County, Texas",81
48029141101,"Census Tract 1411.01, Bexar County, Texas",66
48029141102,"Census Tract 1411.02, Bexar County, Texas",74
48029141200,"Census Tract 1412, Bexar County, Texas",75
48029141300,"Census Tract 1413, Bexar County, Texas",61
48029141402,"Census Tract 1414.02, Bexar County, Texas",75
48029141403,"Census Tract 1414.03, Bexar County, Texas",67
48029141404,"Census Tract 1414.04, Bexar County, Texas",66
48029141600,"Census Tract 1416, Bexar County, Texas",89
48029141700,"Census Tract 1417, Bexar County, Texas",60
48029141800,"Census Tract 1418, Bexar County, Texas",58
48029141900,"Census Tract 1419, Bexar County, Texas",29
48029150100,"Census Tract 1501, Bexar County, Texas",93
48029150300,"Census Tract 1503, Bexar County, Texas",93
48029150400,"Census Tract 1504, Bexar County, Texas",95
48029150501,"Census Tract 1505.01, Bexar County, Texas",95
48029150502,"Census Tract 1505.02, Bexar County, Texas",97
48029150600,"Census Tract 1506, Bexar County, Texas",95
48029150700,"Census Tract 1507, Bexar County, Texas",93
48029150800,"Census Tract 1508, Bexar County, Texas",85
48029150900,"Census Tract 1509, Bexar County, Texas",86
48029151000,"Census Tract 1510, Bexar County, Texas",92
48029151100,"Census Tract 1511, Bexar County, Texas",94
48029151200,"Census Tract 1512, Bexar County, Texas",93
48029151301,"Census Tract 1513.01, Bexar County, Texas",92
48029151302,"Census Tract 1513.02, Bexar County, Texas",91
48029151400,"Census Tract 1514, Bexar County, Texas",88
48029151500,"Census Tract 1515, Bexar County, Texas",80
48029151600,"Census Tract 1516, Bexar County, Texas",79
48029151700,"Census Tract 1517, Bexar County, Texas",85
48029151900,"Census Tract 1519, Bexar County, Texas",90
48029152000,"Census Tract 1520, Bexar County, Texas",83
48029152100,"Census Tract 1521, Bexar County, Texas",70
48029152201,"Census Tract 1522.01, Bexar County, Texas",74
48029152202,"Census Tract 1522.02, Bexar County, Texas",67
48029160100,"Census Tract 1601, Bexar County, Texas",97
48029160200,"Census Tract 1602, Bexar County, Texas",95
48029160300,"Census Tract 1603, Bexar County, Texas",94
48029160400,"Census Tract 1604, Bexar County, Texas",95
