County,FIPS,VTD,cntyvtd,Office,Name,Party,Incumbent,Votes
Aransas,7,0001,70001,U.S. Rep 27,Farenthold,R,1,519
Aransas,7,0002,70002,U.S. Rep 27,Farenthold,R,1,648
Aransas,7,0003,70003,U.S. Rep 27,Farenthold,R,1,1389
Aransas,7,0004,70004,U.S. Rep 27,Farenthold,R,1,1161
Aransas,7,001A,7001A,U.S. Rep 27,Farenthold,R,1,283
Aransas,7,004A,7004A,U.S. Rep 27,Farenthold,R,1,376
Aransas,7,0001,70001,U.S. Rep 27,Reed,D,0,165
Aransas,7,0002,70002,U.S. Rep 27,Reed,D,0,353
Aransas,7,0003,70003,U.S. Rep 27,Reed,D,0,391
Aransas,7,0004,70004,U.S. Rep 27,Reed,D,0,321
Aransas,7,001A,7001A,U.S. Rep 27,Reed,D,0,92
Aransas,7,004A,7004A,U.S. Rep 27,Reed,D,0,83
Aransas,7,0001,70001,U.S. Rep 27,Simonson,L,0,14
Aransas,7,0002,70002,U.S. Rep 27,Simonson,L,0,35
Aransas,7,0003,70003,U.S. Rep 27,Simonson,L,0,47
Aransas,7,0004,70004,U.S. Rep 27,Simonson,L,0,43
Aransas,7,001A,7001A,U.S. Rep 27,Simonson,L,0,13
Aransas,7,004A,7004A,U.S. Rep 27,Simonson,L,0,15
Bastrop,21,1003,211003,U.S. Rep 27,Farenthold,R,1,1260
Bastrop,21,2007,212007,U.S. Rep 27,Farenthold,R,1,576
Bastrop,21,2008,212008,U.S. Rep 27,Farenthold,R,1,257
Bastrop,21,3012,213012,U.S. Rep 27,Farenthold,R,1,261
Bastrop,21,3013,213013,U.S. Rep 27,Farenthold,R,1,365
Bastrop,21,3014,213014,U.S. Rep 27,Farenthold,R,1,399
Bastrop,21,3015,213015,U.S. Rep 27,Farenthold,R,1,349
Bastrop,21,3016,213016,U.S. Rep 27,Farenthold,R,1,560
Bastrop,21,1003,211003,U.S. Rep 27,Reed,D,0,734
Bastrop,21,2007,212007,U.S. Rep 27,Reed,D,0,192
Bastrop,21,2008,212008,U.S. Rep 27,Reed,D,0,124
Bastrop,21,3012,213012,U.S. Rep 27,Reed,D,0,86
Bastrop,21,3013,213013,U.S. Rep 27,Reed,D,0,186
Bastrop,21,3014,213014,U.S. Rep 27,Reed,D,0,277
Bastrop,21,3015,213015,U.S. Rep 27,Reed,D,0,316
Bastrop,21,3016,213016,U.S. Rep 27,Reed,D,0,343
Bastrop,21,1003,211003,U.S. Rep 27,Simonson,L,0,97
Bastrop,21,2007,212007,U.S. Rep 27,Simonson,L,0,49
Bastrop,21,2008,212008,U.S. Rep 27,Simonson,L,0,17
Bastrop,21,3012,213012,U.S. Rep 27,Simonson,L,0,17
Bastrop,21,3013,213013,U.S. Rep 27,Simonson,L,0,32
Bastrop,21,3014,213014,U.S. Rep 27,Simonson,L,0,40
Bastrop,21,3015,213015,U.S. Rep 27,Simonson,L,0,39
Bastrop,21,3016,213016,U.S. Rep 27,Simonson,L,0,58
Caldwell,55,0102,550102,U.S. Rep 27,Farenthold,R,1,247
Caldwell,55,0104,550104,U.S. Rep 27,Farenthold,R,1,161
Caldwell,55,0110,550110,U.S. Rep 27,Farenthold,R,1,36
Caldwell,55,0111,550111,U.S. Rep 27,Farenthold,R,1,237
Caldwell,55,0112,550112,U.S. Rep 27,Farenthold,R,1,0
Caldwell,55,0113,550113,U.S. Rep 27,Farenthold,R,1,0
Caldwell,55,0117,550117,U.S. Rep 27,Farenthold,R,1,0
Caldwell,55,0201,550201,U.S. Rep 27,Farenthold,R,1,267
Caldwell,55,0202,550202,U.S. Rep 27,Farenthold,R,1,343
Caldwell,55,0203,550203,U.S. Rep 27,Farenthold,R,1,297
Caldwell,55,0204,550204,U.S. Rep 27,Farenthold,R,1,400
Caldwell,55,0205,550205,U.S. Rep 27,Farenthold,R,1,108
