cntyvtd,total_votes,dem_votes,rep_votes
1770001,908,184,703
1770002,465,116,341
1770003,469,123,339
1770007,143,16,125
1770008,130,20,107
1770009,346,123,214
1770011,96,13,80
1770012,78,21,57
211003,2091,734,1260
212007,817,192,576
212008,398,124,257
213012,364,86,261
213013,583,186,365
213014,716,277,399
213015,704,316,349
213016,961,343,560
2390001,534,130,397
2390002,711,99,597
2390003,653,90,553
2390004,121,14,106
2390005,214,30,181
2390006,201,41,158
2390007,51,5,46
2390008,177,13,155
2390009,195,23,168
2850001,417,45,368
2850002,522,89,426
2850007,99,17,81
2850008,309,36,268
2850009,447,69,374
2850011,110,17,92
2850012,129,21,103
2850015,81,22,56
2850016,191,19,169
2850017,147,13,133
2850019,143,11,129
2850020,59,18,40
2850023,493,78,407
2850026,60,15,44
2850027,93,8,85
2850029,439,73,359
2850030,599,83,509
2850031,486,64,416
2850032,124,8,115
3210002,354,87,261
3210004,417,76,329
3210005,769,240,510
3210006,518,135,368
3210007,70,11,56
3210008,267,56,207
3210009,64,23,40
3210010,136,20,112
3210012,91,16,70
3210013,193,89,102
321001A,917,151,738
321001B,1060,273,765
321001C,318,210,107
321001D,318,136,173
321001E,400,166,228
321001F,218,72,144
321003A,498,179,306
321003B,257,47,206
3550001,325,137,181
3550002,772,348,405
3550003,1319,525,768
3550004,711,420,269
3550005,692,280,397
3550006,974,298,645
3550007,129,99,28
3550008,964,394,541
3550009,624,213,395
3550010,378,88,283
3550011,137,55,82
3550012,296,179,111
3550013,232,190,40
3550014,153,43,107
3550015,175,58,113
3550016,106,36,68
3550017,777,383,375
3550018,662,232,398
3550019,1302,387,871
3550020,616,381,214
3550021,147,48,94
3550022,124,51,72
3550023,755,145,599
3550024,117,72,43
3550025,101,18,77
3550026,1482,473,972
3550027,207,139,61
3550028,89,12,76
3550029,1133,414,679
3550030,33,25,8
3550031,84,60,21
3550032,540,218,303
3550033,105,66,33
3550034,80,47,31
3550035,167,137,23
3550036,427,290,134
3550037,291,207,79
3550038,93,79,12
3550039,157,81,73
3550040,1492,327,1118
3550041,66,44,21
3550042,211,76,130
3550043,111,90,18
3550044,146,114,28
3550045,72,59,11
3550046,37,27,9
3550047,45,31,14
3550048,417,217,182
3550049,346,86,248
3550050,154,88,64
3550051,386,209,155
3550052,190,148,35
3550053,159,111,42
3550054,350,266,75
3550055,289,230,58
3550056,161,103,54
3550057,173,108,57
3550058,548,247,281
3550059,551,265,267
3550060,156,138,16
3550061,111,103,7
3550062,151,114,34
3550063,1111,427,656
3550064,507,158,339
3550065,1335,438,851
3550066,393,203,176
3550067,1022,378,618
3550068,219,135,76
3550069,508,288,208
3550070,567,331,219
3550071,292,217,69
3550072,332,181,140
3550073,299,239,54
3550074,290,232,47
3550075,347,268,75
3550076,125,102,22
3550077,37,31,4
3550078,310,247,55
3550079,196,137,53
3550080,288,232,43
3550081,1416,328,1035
3550082,84,51,32
3550083,195,148,43
3550084,202,87,107
3550085,87,65,16
3550086,260,123,131
3550087,342,187,144
3550088,730,310,403
3550089,163,79,76
3550090,225,112,103
3550091,832,329,485
3550092A,716,293,404
3550092B,32,14,18
3550093,443,306,126
3550094,564,234,313
3550095,154,101,46
3550096,182,118,61
3550097,213,167,42
3550098,415,348,61
3550099,104,79,25
3550100,264,111,147
3550101,789,269,490
3550102,727,321,389
3550103,542,150,375
3550104,146,125,20
3550105,208,168,35
3550106,764,355,399
3550107,1459,311,1120
3550108,115,76,33
3550109,177,87,81
3550110,348,114,226
3550111,269,96,169
3550112,859,377,470
3550113,79,65,14
3550114,95,65,27
3550115,615,240,348
3550116,1152,530,593
3550117,1047,253,751
3550118,733,405,307
3550119,1172,373,775
3550120,612,235,358
3550121,471,205,251
3550122,1000,293,672
3550123,633,180,440
3550124,899,406,476
3550125,1216,452,744
3550126,505,189,308
3550127,511,107,391
3910001,173,92,80
3910002,415,98,310
3910003,308,107,191
3910004,147,113,33
391001A,190,98,90
391002A,96,17,74
391002B,171,64,100
391003A,300,72,222
391004A,135,58,75
391004B,77,26,50
4090101,145,51,92
4090103,160,21,135
4090106,436,161,261
4090107,72,11,59
4090108,1172,294,851
4090109,761,218,515
4090110,597,237,344
4090111,20,2,18
4090112,344,266,63
4090113,218,151,62
4090114,566,141,413
4090115,1152,244,872
4090116,1421,295,1096
4090119,472,110,346
4090120,254,59,192
4090121,595,151,423
4090123,29,9,19
4090125,10,1,9
4690001,132,75,55
4690002,376,138,226
4690003,427,121,288
4690004,241,130,102
4690005,602,238,339
4690006,67,35,26
4690007,474,317,150
4690008,477,162,307
4690009,322,103,209
4690010,555,139,405
4690011,145,22,122
4690012,150,68,82
4690013,324,169,150
