cntyvtd,total_votes,rep_votes,dem_votes,rep_perc,dem_perc
1770001,1360,941,373,69,27
1770002,821,476,327,58,40
1770003,730,476,229,65,31
1770007,219,179,33,82,15
1770008,179,141,33,79,18
1770009,539,266,251,49,47
1770011,140,113,25,81,18
1770012,123,93,24,76,20
211003,2890,1636,1101,57,38
212007,1130,742,326,66,29
212008,535,331,177,62,33
213012,482,307,140,64,29
213013,811,449,306,55,38
213014,1162,539,532,46,46
213015,1129,453,603,40,53
213016,1393,720,571,52,41
2390001,1008,643,316,64,31
2390002,1215,896,267,74,22
2390003,897,639,215,71,24
2390004,200,156,35,78,17
2390005,358,275,68,77,19
2390006,333,206,109,62,33
2390007,57,45,11,79,19
2390008,350,258,70,74,20
2390009,299,246,44,82,15
2850001,629,487,116,77,18
2850002,859,632,214,74,25
2850007,141,112,29,79,21
2850008,482,390,80,81,17
2850009,754,542,193,72,26
2850011,193,143,39,74,20
2850012,216,154,51,71,24
2850015,122,86,35,70,29
2850016,270,212,38,79,14
2850017,186,156,25,84,13
2850019,225,176,42,78,19
2850020,71,49,20,69,28
2850023,772,572,171,74,22
2850026,138,75,56,54,41
2850027,139,112,24,81,17
2850029,720,487,194,68,27
2850030,982,719,191,73,19
2850031,739,578,135,78,18
2850032,203,167,30,82,15
3210002,422,297,105,70,25
3210004,697,491,185,70,27
3210005,1070,654,392,61,37
3210006,715,474,222,66,31
3210007,92,71,18,77,20
3210008,508,319,170,63,33
3210009,135,73,59,54,44
3210010,237,178,49,75,21
3210012,147,103,34,70,23
3210013,285,132,148,46,52
321001A,1551,1106,393,71,25
321001B,1845,1144,628,62,34
321001C,591,133,443,23,75
321001D,607,239,348,39,57
321001E,820,384,411,47,50
321001F,385,197,179,51,46
321003A,945,515,403,54,43
321003B,444,323,106,73,24
3550001,525,272,235,52,45
3550002,1239,628,555,51,45
3550003,2029,1175,805,58,40
3550004,1236,450,766,36,62
3550005,945,570,333,60,35
3550006,1527,957,499,63,33
3550007,280,53,217,19,78
3550008,1671,860,738,51,44
3550009,1027,657,340,64,33
3550010,621,451,148,73,24
3550011,314,139,164,44,52
3550012,523,165,350,32,67
3550013,529,64,462,12,87
3550014,200,132,65,66,32
3550015,360,190,155,53,43
3550016,158,97,56,61,35
3550017,1351,609,691,45,51
3550018,1251,686,485,55,39
3550019,1925,1306,513,68,27
3550020,1184,357,795,30,67
3550021,199,128,64,64,32
3550022,179,90,86,50,48
3550023,1191,916,239,77,20
3550024,242,54,183,22,76
3550025,181,127,49,70,27
3550026,2261,1493,712,66,31
3550027,332,110,215,33,65
3550028,126,109,15,87,12
3550029,1776,1105,631,62,36
3550030,110,7,102,6,93
3550031,193,40,147,21,76
3550032,836,468,348,56,42
3550033,187,37,142,20,76
3550034,199,56,139,28,70
3550035,373,34,331,9,89
3550036,443,122,316,28,71
3550037,628,125,486,20,77
3550038,247,22,220,9,89
3550039,264,106,153,40,58
3550040,2169,1643,455,76,21
3550041,179,28,143,16,80
3550042,263,174,84,66,32
3550043,226,35,190,15,84
3550044,319,38,276,12,87
3550045,169,28,137,17,81
3550046,93,15,74,16,80
3550047,128,20,104,16,81
3550048,711,311,378,44,53
3550049,591,407,169,69,29
3550050,254,104,142,41,56
3550051,744,267,444,36,60
3550052,382,77,296,20,77
3550053,318,76,237,24,75
3550054,645,121,520,19,81
3550055,509,100,402,20,79
3550056,376,81,283,22,75
3550057,330,96,223,29,68
3550058,764,384,352,50,46
3550059,821,403,377,49,46
3550060,369,50,314,14,85
3550061,298,21,272,7,91
3550062,293,54,232,18,79
3550063,1466,900,523,61,36
3550064,655,462,175,71,27
3550065,1903,1208,632,63,33
3550066,690,297,374,43,54
3550067,1681,996,630,59,37
3550068,429,134,286,31,67
3550069,877,295,558,34,64
3550070,1076,369,670,34,62
3550071,570,113,447,20,78
3550072,634,240,381,38,60
3550073,543,109,423,20,78
3550074,634,91,537,14,85
3550075,805,127,670,16,83
3550076,274,36,231,13,84
3550077,116,17,96,15,83
3550078,652,98,542,15,83
3550079,425,84,325,20,76
3550080,672,76,583,11,87
3550081,2197,1667,459,76,21
3550082,193,54,129,28,67
3550083,392,80,301,20,77
3550084,339,147,184,43,54
3550085,191,27,160,14,84
3550086,367,207,147,56,40
3550087,667,258,389,39,58
3550088,1230,631,573,51,47
3550089,283,117,154,41,54
3550090,413,187,206,45,50
3550091,1368,782,521,57,38
3550092A,1058,619,394,59,37
3550092B,48,28,18,58,37
3550093,959,218,724,23,75
3550094,929,456,447,49,48
3550095,328,93,231,28,70
3550096,339,98,231,29,68
3550097,450,84,351,19,78
3550098,774,79,682,10,88
3550099,237,38,194,16,82
3550100,499,231,254,46,51
3550101,1380,786,542,57,39
3550102,872,478,369,55,42
3550103,876,582,264,66,30
3550104,393,37,352,9,90
3550105,530,53,467,10,88
3550106,1224,601,586,49,48
3550107,2309,1733,523,75,23
3550108,228,48,177,21,78
3550109,284,141,136,50,48
3550110,639,386,233,60,36
3550111,453,255,187,56,41
3550112,1271,664,578,52,45
3550113,192,16,174,8,91
3550114,206,50,154,24,75
3550115,1024,588,390,57,38
3550116,1880,904,921,48,49
3550117,1610,1125,390,70,24
3550118,1231,479,729,39,59
3550119,1812,1161,604,64,33
3550120,982,525,426,53,43
3550121,789,359,411,46,52
3550122,1558,1060,452,68,29
3550123,1108,718,361,65,33
3550124,1494,777,669,52,45
3550125,1884,1128,709,60,38
3550126,785,473,293,60,37
3550127,668,517,132,77,20
3910001,216,97,117,45,54
3910002,515,379,130,74,25
3910003,424,299,114,71,27
3910004,220,43,173,20,79
391001A,268,95,170,35,63
391002A,116,95,20,82,17
391002B,187,118,64,63,34
391003A,404,275,120,68,30
391004A,193,82,103,42,53
391004B,96,53,42,55,44
4090101,259,140,116,54,45
4090103,224,174,46,78,21
4090106,667,371,277,56,42
4090107,116,74,39,64,34
4090108,2052,1444,535,70,26
4090109,1369,914,407,67,30
4090110,855,451,376,53,44
4090111,33,26,7,79,21
4090112,511,75,432,15,85
4090113,534,120,406,22,76
4090114,918,652,229,71,25
4090115,1781,1261,456,71,26
4090116,2352,1833,452,78,19
4090119,773,546,203,71,26
4090120,386,274,97,71,25
4090121,1099,725,346,66,31
4090123,52,32,19,62,37
4090125,24,12,12,50,50
4690001,248,92,140,37,56
4690002,511,272,191,53,37
4690003,640,371,208,58,32
4690004,541,162,348,30,64
4690005,1048,441,531,42,51
4690006,140,41,90,29,64
4690007,862,225,597,26,69
4690008,865,417,397,48,46
4690009,597,316,233,53,39
4690010,951,580,301,61,32
4690011,236,165,54,70,23
4690012,375,129,235,34,63
4690013,677,221,428,33,63
4690014,713,467,198,65,28
4690015,78,55,16,71,21
4690016,241,171,51,71,21
4690017,268,155,86,58,32
4690018,1950,1409,414,72,21
4690019,1435,790,535,55,37
4690020,774,559,156,72,20
4690021,2145,1438,430,67,20
4690022,1040,833,126,80,12
4690023,930,670,177,72,19
4690024,819,630,104,77,13
4690025,1899,1195,548,63,29
4690026,593,385,162,65,27
4690027,843,682,94,81,11
4690028,297,230,39,77,13
4690029,1790,1207,383,67,21
4690030,309,170,103,55,33
4690031,453,212,205,47,45
4690032,463,155,291,33,63
4690033,2711,1966,446,73,16
4690034,433,81,336,19,78
4690035,165,37,121,22,73
4810101A,576,355,213,62,37
4810101B,757,452,271,60,36
4810102,1462,1111,316,76,22
4810103,1017,731,263,72,26
4810201,1514,1217,260,80,17
4810202,558,136,411,24,74
4810203,1625,568,1025,35,63
4810301,1480,1244,206,84,14
4810302,1260,988,244,78,19
4810303,1223,1008,189,82,15
4810401,1199,603,575,50,48
4810402,660,418,223,63,34
4810403,385,208,161,54,42
550102,381,255,115,67,30
550104,244,157,79,64,32
550109,22,16,4,73,18
550110,65,28,35,43,54
550111,490,243,233,50,48
