GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US48017950100,48017950100,"Census Tract 9501, Bailey County, Texas",,$*****,,,,
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",,$*****,,,,
1400000US48079950100,48079950100,"Census Tract 9501, Cochran County, Texas",,$*****,,$*****,,$*****
1400000US48087950300,48087950300,"Census Tract 9503, Collingsworth County, Texas",,$*****,,,,
1400000US48095950300,48095950300,"Census Tract 9503, Concho County, Texas",,$*****,,$*****,,$*****
1400000US48103950100,48103950100,"Census Tract 9501, Crane County, Texas",,$*****,,,,
1400000US48105950100,48105950100,"Census Tract 9501, Crockett County, Texas",,$*****,,,,
1400000US48109950300,48109950300,"Census Tract 9503, Culberson County, Texas",,$*****,,,,
1400000US48125950300,48125950300,"Census Tract 9503, Dickens County, Texas",,$*****,,,,
1400000US48137950300,48137950300,"Census Tract 9503, Edwards County, Texas",,$*****,,,,
1400000US48169950100,48169950100,"Census Tract 9501, Garza County, Texas",,$*****,,,,
1400000US48191950500,48191950500,"Census Tract 9505, Hall County, Texas",,$*****,,$*****,,$*****
1400000US48197950100,48197950100,"Census Tract 9501, Hardeman County, Texas",,$*****,,,,
1400000US48205950200,48205950200,"Census Tract 9502, Hartley County, Texas",,$*****,,$*****,,$*****
1400000US48211950300,48211950300,"Census Tract 9503, Hemphill County, Texas",,$*****,,,,
1400000US48229950300,48229950300,"Census Tract 9503, Hudspeth County, Texas",,$*****,,,,
1400000US48283950300,48283950300,"Census Tract 9503, La Salle County, Texas",,$*****,,,,
1400000US48327950300,48327950300,"Census Tract 9503, Menard County, Texas",,$*****,,,,
1400000US48359950100,48359950100,"Census Tract 9501, Oldham County, Texas",,$*****,,,,
1400000US48383950100,48383950100,"Census Tract 9501, Reagan County, Texas",,$*****,,,,
1400000US48385950100,48385950100,"Census Tract 9501, Real County, Texas",,$*****,,,,
1400000US48421950200,48421950200,"Census Tract 9502, Sherman County, Texas",,$*****,,,,
1400000US48435950300,48435950300,"Census Tract 9503, Sutton County, Texas",,$*****,,,,
