GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",5477,674,5073,677,404,297
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",6773,429,4940,387,1833,235
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",3192,531,2419,443,773,160
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4538,556,3341,465,1197,469
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",6233,576,4949,542,1284,349
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",3154,429,2738,397,416,145
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4715,453,4228,448,487,261
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",5939,650,4797,657,1142,434
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",5207,628,4405,588,802,396
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",7528,605,7053,620,475,305
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",5513,624,5049,644,464,234
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",1893,219,1368,198,525,243
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",6646,421,3564,347,3082,452
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",3972,424,1576,310,2396,379
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2495,290,1066,241,1429,307
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",5954,638,5109,555,845,504
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",4768,409,3985,379,783,243
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6196,537,4935,547,1261,443
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",5381,613,4527,520,854,463
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4656,455,4024,443,632,285
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5583,613,4681,526,902,388
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",4046,473,3434,399,612,339
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",6725,606,3586,411,3139,517
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",3956,452,1785,329,2171,473
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",5630,648,4826,543,804,490
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6527,476,5811,514,716,258
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",2767,378,2586,349,181,148
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",5935,449,3643,468,2292,363
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",4165,389,2702,402,1463,342
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",6399,615,6252,634,147,133
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2814,441,2793,441,21,19
1400000US48005001300,48005001300,"Census Tract 13, Angelina County, Texas",5048,545,4743,486,305,244
1400000US48007950100,48007950100,"Census Tract 9501, Aransas County, Texas",5798,591,4805,572,993,344
1400000US48007950200,48007950200,"Census Tract 9502, Aransas County, Texas",1179,146,1121,143,58,60
1400000US48007950300,48007950300,"Census Tract 9503, Aransas County, Texas",7009,427,5331,485,1678,408
1400000US48007950400,48007950400,"Census Tract 9504, Aransas County, Texas",3491,484,2028,322,1463,348
1400000US48007950500,48007950500,"Census Tract 9505, Aransas County, Texas",5914,584,4256,519,1658,432
1400000US48007990000,48007990000,"Census Tract 9900, Aransas County, Texas",0,13,0,13,0,13
1400000US48009020100,48009020100,"Census Tract 201, Archer County, Texas",2728,186,2638,183,90,68
1400000US48009020200,48009020200,"Census Tract 202, Archer County, Texas",2743,209,2598,206,145,63
1400000US48009020300,48009020300,"Census Tract 203, Archer County, Texas",3473,223,3016,205,457,85
1400000US48011950100,48011950100,"Census Tract 9501, Armstrong County, Texas",1820,116,1635,114,185,50
1400000US48013960100,48013960100,"Census Tract 9601, Atascosa County, Texas",6186,588,2815,492,3371,605
1400000US48013960201,48013960201,"Census Tract 9602.01, Atascosa County, Texas",6765,729,2565,419,4200,705
1400000US48013960202,48013960202,"Census Tract 9602.02, Atascosa County, Texas",10375,869,3415,569,6960,937
1400000US48013960300,48013960300,"Census Tract 9603, Atascosa County, Texas",3592,166,405,189,3187,129
1400000US48013960401,48013960401,"Census Tract 9604.01, Atascosa County, Texas",2340,467,454,130,1886,452
1400000US48013960402,48013960402,"Census Tract 9604.02, Atascosa County, Texas",7623,621,3921,552,3702,710
1400000US48013960500,48013960500,"Census Tract 9605, Atascosa County, Texas",2511,349,519,147,1992,369
1400000US48013960600,48013960600,"Census Tract 9606, Atascosa County, Texas",5699,374,3055,446,2644,358
1400000US48015760100,48015760100,"Census Tract 7601, Austin County, Texas",2304,299,1705,275,599,239
1400000US48015760200,48015760200,"Census Tract 7602, Austin County, Texas",6218,494,4211,465,2007,403
1400000US48015760300,48015760300,"Census Tract 7603, Austin County, Texas",7183,615,5128,582,2055,550
1400000US48015760400,48015760400,"Census Tract 7604, Austin County, Texas",3682,512,3481,516,201,182
1400000US48015760501,48015760501,"Census Tract 7605.01, Austin County, Texas",4217,486,3610,459,607,259
1400000US48015760502,48015760502,"Census Tract 7605.02, Austin County, Texas",4768,445,3557,426,1211,437
1400000US48017950100,48017950100,"Census Tract 9501, Bailey County, Texas",7096,,3125,213,3971,213
1400000US48019000101,48019000101,"Census Tract 1.01, Bandera County, Texas",4724,536,3941,453,783,320
1400000US48019000102,48019000102,"Census Tract 1.02, Bandera County, Texas",4612,575,4106,551,506,274
1400000US48019000200,48019000200,"Census Tract 2, Bandera County, Texas",2544,303,2186,288,358,175
1400000US48019000300,48019000300,"Census Tract 3, Bandera County, Texas",6575,655,5262,547,1313,453
1400000US48019000400,48019000400,"Census Tract 4, Bandera County, Texas",2022,341,1549,285,473,217
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",9280,823,5961,534,3319,795
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",8046,309,4426,523,3620,462
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",12261,886,9870,769,2391,691
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",7833,764,6304,584,1529,611
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",8005,693,5162,653,2843,468
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5868,591,5337,526,531,307
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4946,565,3817,467,1129,502
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",3995,125,3181,317,814,292
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",6496,849,1936,424,4560,864
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",7293,938,3947,757,3346,713
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3706,,3336,103,370,103
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",2267,358,1446,316,821,208
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",7326,515,4160,384,3166,358
